model,arg,all,nucleus,membrane
gaussian_filter,sigma=0.4,0.11518248008469391,0.11330868950798158,0.12074819466898794
gaussian_filter,sigma=0.402,0.11648567661272718,0.11470469452227983,0.12177572242593712
gaussian_filter,sigma=0.404,0.11931411704310381,0.11700222939712963,0.1261811100509479
gaussian_filter,sigma=0.406,0.12113025049389967,0.11844887829686056,0.129094722366293
gaussian_filter,sigma=0.408,0.12211853056973096,0.11922470753827497,0.1307140445245507
gaussian_filter,sigma=0.41,0.12400390190542589,0.12112711670983704,0.13254880842697697
gaussian_filter,sigma=0.412,0.124788684749715,0.12196182817076968,0.13318528844955257
gaussian_filter,sigma=0.414,0.1273694599606818,0.12380965013874685,0.13794315250108252
gaussian_filter,sigma=0.416,0.1286366091443025,0.12458164592669116,0.14068105434512826
gaussian_filter,sigma=0.418,0.1298840556527631,0.12576536510026665,0.1421177899671089
gaussian_filter,sigma=0.42,0.1306232500618565,0.12668346479377068,0.14232558254131936
gaussian_filter,sigma=0.422,0.13162590013059428,0.12750407052549348,0.14386895836356706
gaussian_filter,sigma=0.424,0.13253086925092467,0.12814272544386776,0.1455649597669353
gaussian_filter,sigma=0.426,0.13363509336544116,0.12853789791497525,0.14877527787177564
gaussian_filter,sigma=0.428,0.13460583816260635,0.12978279217830307,0.14893171732390315
gaussian_filter,sigma=0.43,0.13618095206339811,0.13125549768271152,0.15081101458028895
gaussian_filter,sigma=0.432,0.13699993335343522,0.13195516395947937,0.15198439689983864
gaussian_filter,sigma=0.434,0.13757055842197796,0.132033510403643,0.15401723570416098
gaussian_filter,sigma=0.436,0.1378836361784148,0.1315388362548407,0.15672957654546646
gaussian_filter,sigma=0.438,0.13847409626305182,0.1319087836214703,0.15797502490141282
gaussian_filter,sigma=0.44,0.13951982183904446,0.13272011395478345,0.15971697397051282
gaussian_filter,sigma=0.442,0.14061139473160839,0.1333860170181741,0.16207291269230423
gaussian_filter,sigma=0.444,0.14041992844693157,0.13285133820665593,0.16290088955666124
gaussian_filter,sigma=0.446,0.1403813088587434,0.13228149457016214,0.16444016318126198
gaussian_filter,sigma=0.448,0.14061921559380322,0.13211817242866056,0.16586983885660325
gaussian_filter,sigma=0.45,0.14127779513725874,0.132262606928013,0.1680555818973945
gaussian_filter,sigma=0.452,0.14175655731883471,0.13245187546714918,0.16939422618522743
gaussian_filter,sigma=0.454,0.14172087130217215,0.1317047870310261,0.17147161666201202
gaussian_filter,sigma=0.456,0.14138917924367486,0.13115954736077462,0.1717742244404082
gaussian_filter,sigma=0.458,0.14150416394920431,0.1304229962566271,0.17441852343210693
gaussian_filter,sigma=0.46,0.1415043973364852,0.13004517124109624,0.17554170257031376
gaussian_filter,sigma=0.462,0.14176677662669157,0.12982347977415976,0.17724191579262763
gaussian_filter,sigma=0.464,0.14061145252899934,0.12845026899551484,0.17673377985618097
gaussian_filter,sigma=0.466,0.14041967901847416,0.12738795010226725,0.17912778471017793
gaussian_filter,sigma=0.468,0.13973151163267153,0.12630160010649352,0.17962233794805174
gaussian_filter,sigma=0.47,0.13945803803573495,0.12565272614065218,0.18046391495182243
gaussian_filter,sigma=0.472,0.1386247934683328,0.1245716795169825,0.18036671609610608
gaussian_filter,sigma=0.474,0.13804509202196838,0.12336883899919684,0.181637922782676
gaussian_filter,sigma=0.476,0.13766247450520383,0.12266989626524118,0.18219488511895437
gaussian_filter,sigma=0.478,0.13637982137803198,0.1205027149510418,0.18353954343839882
gaussian_filter,sigma=0.48,0.13548861626369918,0.11905376220278313,0.18430501446443984
gaussian_filter,sigma=0.482,0.13480957485425357,0.11791753863343092,0.18498393986659817
gaussian_filter,sigma=0.484,0.13403855960985883,0.11662810547525486,0.18575277981165286
gaussian_filter,sigma=0.486,0.13278375581237808,0.11469494403374493,0.18651289970930823
gaussian_filter,sigma=0.488,0.13206196746424662,0.11370025988494054,0.18660169294733397
gaussian_filter,sigma=0.49,0.1314842541184655,0.11271963680614053,0.18722074118477733
gaussian_filter,sigma=0.492,0.12943752717248283,0.11015674604872652,0.18670717407472925
gaussian_filter,sigma=0.494,0.12867547887595582,0.10882097829599516,0.18764924297484886
gaussian_filter,sigma=0.496,0.12792159628451952,0.10785415497252333,0.18752785760728055
gaussian_filter,sigma=0.498,0.1259161950446043,0.10489352516115262,0.1883597689558469
